Accession_Number	Identified Proteins (551)	Molecular Weight Aorta	Aorta ANOVA Test (P-Value	Classification		18129_DB_AORTA_1	18129_DB_AORTA_2	18129_DB_AORTA_3	18129_DB_AORTA_4	18129_DB_AORTA	DB_AORTA_MEAN	18129_HET_AORTA_1	18129_HET_AORTA_2	18129_HET_AORTA_3	18129_HET_AORTA_4	HET_AORTA_MEAN	18129_KOHET_AORTA_1	18129_KOHET_AORTA_2	18129_KOHET_AORTA_3	18129_KOHET_AORTA_4	KOHET_AORTA_MEAN	18129_KOKO_AORTA_1	18129_KOKO_AORTA_2	18129_KOKO_AORTA_3	KOKO_AORTA_MEAN	Molecular Weight Coro	Coro ANOVA Test (P-Value		18129_DB_CORO_1	18129_DB_CORO_2	18129_DB_CORO_3	18129_DB_CORO_4	18129_DB_CORO	DB_CORO_MEAN	18129_HET_CORO_1	18129_HET_CORO_2	18129_HET_CORO_3	18129_HET_CORO_4	HET_CORO_MEAN	18129_KOHET_CORO_1	18129_KOHET_CORO_2	18129_KOHET_CORO_3	18129_KOHET_CORO_4	KOHET_CORO_MEAN	18129_KOKO_CORO_1	18129_KOKO_CORO_2	18129_KOKO_CORO_3	KOKO_CORO_MEAN	Entry	All_Pathways	Pathway	ATP_Synthesis	Blood_Coagulation	Chemokine_Cytokine_Signaling	Cytoskeleton	De_Novo_Purine_Biosynthesis	EGF	FGF	Glycolysis	Huntington	Integrin	Nicotinic_Acetylcholine	Parkinson	Pyruvate_Metabolism	TCA_Cycle	Gene_names
PTGIS_MOUSE	Prostacyclin synthase OS=Mus musculus GN=Ptgis PE=2 SV=1	57 kDa	0.091			26.8	28.562	26.314	31.447	20.187	26.662	7.8627	28.562	26.314	25.704	22.1107	21.794	22.374	21.213	28.163	23.386	14.669	11.98	17.833	14.8273	57 kDa	0.22		14.93	6.8806	7.1824	1.0946	0	6.0175	5.847	2.4984	1.2091	0	2.3886	6.7654	3.7398	10.595	16.237	9.3343	4.7794	3.9978	3.2114	3.9962	O35074																	
PTRF_MOUSE	Polymerase I and transcript release factor OS=Mus musculus GN=Ptrf PE=1 SV=1	44 kDa	0.8			30.628	38.083	36.182	29.117	37.009	34.2038	13.76	38.083	36.182	36.219	31.061	39.797	34.493	31.314	37.959	35.8908	35.042	21.563	39.232	31.9457	44 kDa	0.062		28.104	27.523	26.036	13.135	8.6097	20.6815	5.847	13.741	1.2091	12.135	8.233	19.169	14.024	19.072	31.392	20.9143	20.711	26.985	19.268	22.3213	O54724																	
QCR1_MOUSE	Cytochrome b-c1 complex subunit 1, mitochondrial OS=Mus musculus GN=Uqcrc1 PE=1 SV=2	53 kDa	0.46			0	1.731	1.0964	0	3.3644	1.2384	0	1.731	1.0964	0	0.7069	1.8951	0	1.0101	0	0.7263	0	0	0	0	53 kDa	0.0004		17.565	17.202	15.263	12.04	10.762	14.5664	8.1859	8.7444	7.2547	7.7221	7.9768	6.7654	8.4144	7.4168	5.4124	7.0023	11.948	11.994	16.057	13.333	Q9CZ13																	
QCR2_MOUSE	Cytochrome b-c1 complex subunit 2, mitochondrial OS=Mus musculus GN=Uqcrc2 PE=1 SV=1	48 kDa	0.69			4.7857	4.3276	2.1928	0	1.1215	2.4855	0.9828	4.3276	2.1928	3.5051	2.7521	3.7902	1.8645	2.0203	0	1.9188	1.6298	2.3959	0	1.3419	48 kDa	0.29		21.956	18.062	25.139	9.8511	13.991	17.7998	17.541	1.2492	8.4638	16.547	10.9503	14.658	24.308	16.953	10.825	16.686	10.355	12.993	11.775	11.7077	Q9DB77																	
RAB10_MOUSE	Ras-related protein Rab-10 OS=Mus musculus GN=Rab10 PE=1 SV=1	23 kDa	0.021			2.8714	3.4621	2.1928	4.6588	1.1215	2.8613	0	3.4621	2.1928	0	1.4137	3.7902	3.729	5.0507	4.898	4.367	4.0746	4.7919	3.5666	4.1444	23 kDa	0.0097		2.6347	0.8601	1.7956	0	3.2286	1.7038	2.3388	0	0	0	0.5847	5.6378	1.8699	4.2382	5.4124	4.2896	2.3897	3.9978	3.2114	3.1996	P61027																	
RAB1A_MOUSE	Ras-related protein Rab-1A OS=Mus musculus GN=Rab1A PE=1 SV=3	23 kDa	0.027			1.9143	3.4621	0	3.4941	0	1.7741	0	3.4621	0	0	0.8655	2.8426	2.7968	4.0406	6.1225	3.9506	4.0746	6.3892	3.5666	4.6768	23 kDa	0.0029		1.7565	0	0.8978	2.1891	1.0762	1.1839	1.1694	0	0	0	0.2924	4.5102	1.8699	2.1191	4.3299	3.2073	3.1863	2.9984	2.1409	2.7752	P62821																	
RAB1B_MOUSE	Ras-related protein Rab-1B OS=Mus musculus GN=Rab1b PE=1 SV=1	22 kDa	< 0.00010			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2597	3.9932	3.5666	3.6065	22 kDa	0.25		0	0	0	0	0	0	0	0	0	0	0	0	1.8699	0	4.3299	1.55	0	2.9984	0	0.9995	Q9D1G1																	
RAB2A_MOUSE	Ras-related protein Rab-2A OS=Mus musculus GN=Rab2a PE=1 SV=1	24 kDa	< 0.00010			0	0	1.0964	0	1.1215	0.4436	0	0	1.0964	0	0.2741	1.8951	2.7968	3.0304	2.449	2.5428	1.6298	1.5973	1.7833	1.6701	24 kDa	0.12		0	0	0	0	0	0	0	0	0	0	0	1.1276	0	0	2.165	0.8232	0	0.9995	1.0705	0.69	P53994																	
RAB5A_MOUSE	Ras-related protein Rab-5A OS=Mus musculus GN=Rab5a PE=1 SV=1	24 kDa	0.099			0	0	0	0	3.3644	0.6729	0	0	0	0	0	1.8951	1.8645	3.0304	1.2245	2.0036	0	2.3959	3.5666	1.9875	24 kDa	0.058		0	0	0	0	1.0762	0.2152	0	0	0	0	0	0	2.8048	1.0595	1.0825	1.2367	0	0	0	0	Q9CQD1																	
RAB5B_MOUSE	Ras-related protein Rab-5B OS=Mus musculus GN=Rab5b PE=1 SV=1	24 kDa	0.024			0	0	0	4.6588	0	0.9318	0	0	0	0	0	1.8951	1.8645	3.0304	1.2245	2.0036	3.2597	3.1946	3.5666	3.3403	24 kDa	0.05		0	0	0	0	2.1524	0.4305	0	0	0	0	0	3.3827	0	2.1191	2.165	1.9167	0.7966	0	0	0.2655	P61021																	
RAB5C_MOUSE	Ras-related protein Rab-5C OS=Mus musculus GN=Rab5c PE=1 SV=2	23 kDa	0.9			0.9571	5.1931	1.0964	5.8235	2.243	3.0626	0	5.1931	1.0964	2.3367	2.1566	1.8951	1.8645	4.0406	2.449	2.5623	3.2597	1.5973	2.6749	2.5106	23 kDa	0.002		0	0	0	0	1.0762	0.2152	0	0	0	0	0	2.2551	1.8699	1.0595	1.0825	1.5668	0	0.9995	0	0.3332	P35278																	
RAB7A_MOUSE	Ras-related protein Rab-7a OS=Mus musculus GN=Rab7a PE=1 SV=2	23 kDa	0.002			0	0.8655	0	0	0	0.1731	0	0.8655	0	0	0.2164	0.9476	0.9323	1.0101	1.2245	1.0286	1.6298	2.3959	0.8917	1.6391	23 kDa	0.053		1.7565	0.8601	0	0	2.1524	0.9538	0	0	0	0	0	0	0.9349	1.0595	1.0825	0.7692	1.5931	1.9989	1.0705	1.5542	P51150																	
RAC1_MOUSE	Ras-related C3 botulinum toxin substrate 1 OS=Mus musculus GN=Rac1 PE=1 SV=1	21 kDa	0.37			0.9571	2.5966	1.0964	2.3294	2.243	1.8445	0	2.5966	1.0964	0	0.9233	0.9476	0.9323	2.0203	0	0.975	1.6298	0.7987	3.5666	1.9984	21 kDa	0.24		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7966	0	0	0.2655	P63001	Chemokine_Cytokine_Signaling, Cytoskeleton, EGF, FGF, Huntington, Integrin	Cytoskeleton			Chemokine_Cytokine_Signaling	Cytoskeleton		EGF	FGF		Huntington	Integrin					Rac1
RAN_MOUSE	GTP-binding nuclear protein Ran OS=Mus musculus GN=Ran PE=1 SV=3	24 kDa	0.0087			0.9571	0	0	1.1647	1.1215	0.6487	0.9828	0	0	0	0.2457	0.9476	0	1.0101	1.2245	0.7955	1.6298	2.3959	1.7833	1.9363	24 kDa	0.58		0	1.7202	0	0	0	0.344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	P62827																	
RAP1B_MOUSE 	Ras-related protein Rap-1b OS=Mus musculus GN=Rap1b PE=2 SV=2	21 kDa	0.47	Integrin		1.9143	3.4621	3.2892	2.3294	4.4859	3.0962	2.9485	3.4621	3.2892	7.0101	4.1775	1.8951	3.729	3.0304	2.449	2.7759	4.0746	1.5973	3.5666	3.0795	21 kDa	0.0073		1.7565	1.7202	1.7956	2.1891	3.2286	2.138	1.1694	1.2492	1.2091	1.1032	1.1827	3.3827	2.8048	1.0595	4.3299	2.8942	3.9828	3.9978	3.2114	3.7307	Q99JI6																	
RB11B_MOUSE 	Ras-related protein Rab-11B OS=Mus musculus GN=Rab11b PE=1 SV=3	24 kDa	0.18			1.9143	1.731	2.1928	1.1647	2.243	1.8492	0	1.731	2.1928	0	0.981	0.9476	2.7968	3.0304	2.449	2.3059	3.2597	3.9932	0.8917	2.7149	24 kDa	0.0002		1.7565	2.5802	1.7956	2.1891	2.1524	2.0948	0	0	0	0	0	3.3827	0.9349	2.1191	2.165	2.1504	2.3897	1.9989	2.1409	2.1765	P46638																	
RET1_MOUSE	Retinol-binding protein 1 OS=Mus musculus GN=Rbp1 PE=2 SV=2	16 kDa	0.44			2.8714	6.0587	3.2892	8.1528	11.215	6.3174	1.9657	6.0587	3.2892	5.8418	4.2889	5.6853	6.5258	12.122	3.6735	7.0017	8.9641	7.1878	7.1332	7.7617	16 kDa	< 0.00010		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3897	1.9989	1.0705	1.8197	Q00915																	
RHG01_MOUSE	Rho GTPase-activating protein 1 OS=Mus musculus GN=Arhgap1 PE=1 SV=1	50 kDa	0.24			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7987	0	0.2662	50 kDa	0.43		0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.165	0.5413	0	0	0	0	Q5FWK3	Cytoskeleton	Cytoskeleton				Cytoskeleton											Arhgap1
RL11_MOUSE	60S ribosomal protein L11 OS=Mus musculus GN=Rpl11 PE=1 SV=4	20 kDa	0.038			1.9143	0.8655	1.0964	1.1647	2.243	1.4568	0	0.8655	1.0964	0	0.4905	1.8951	1.8645	3.0304	2.449	2.3098	0.8149	0	2.6749	1.1633	20 kDa	0.13		0.8782	0	0	0	2.1524	0.6061	0	0	0	0	0	1.1276	1.8699	1.0595	1.0825	1.2849	2.3897	0.9995	0	1.1297	Q9CXW4																	
RL12_MOUSE	60S ribosomal protein L12 OS=Mus musculus GN=Rpl12 PE=1 SV=2	18 kDa	0.86			0.9571	2.5966	1.0964	1.1647	4.4859	2.0601	0	2.5966	1.0964	3.5051	1.7995	1.8951	2.7968	3.0304	1.2245	2.2367	2.4448	0	1.7833	1.4094	18 kDa	0.48		0	0	0	1.0946	0	0.2189	0	0	0	0	0	1.1276	0	1.0595	0	0.5468	0	0.9995	0	0.3332	P35979																	
RL22_MOUSE	60S ribosomal protein L22 OS=Mus musculus GN=Rpl22 PE=2 SV=2	15 kDa	0.031			0	1.731	0	1.1647	1.1215	0.8034	0	1.731	0	1.1684	0.7249	1.8951	2.7968	3.0304	2.449	2.5428	1.6298	2.3959	0	1.3419	15 kDa	0.83		0.8782	3.4403	0.8978	2.1891	1.0762	1.6963	1.1694	0	2.4182	0	0.8969	0	1.8699	4.2382	0	1.527	1.5931	1.9989	1.0705	1.5542	P67984																	
RLA0_MOUSE	60S acidic ribosomal protein P0 OS=Mus musculus GN=Rplp0 PE=1 SV=3	34 kDa	0.35			1.9143	1.731	3.2892	2.3294	4.4859	2.75	0.9828	1.731	3.2892	1.1684	1.7929	2.8426	1.8645	2.0203	1.2245	1.988	2.4448	3.1946	2.6749	2.7714	34 kDa	0.0073		1.7565	0.8601	0	1.0946	1.0762	0.9575	1.1694	0	0	0	0.2924	1.1276	1.8699	1.0595	2.165	1.5555	1.5931	2.9984	2.1409	2.2441	P14869																	
RLA2_MOUSE	60S acidic ribosomal protein P2 OS=Mus musculus GN=Rplp2 PE=1 SV=3	12 kDa	0.018			3.8286	2.5966	2.1928	3.4941	3.3644	3.0953	1.9657	2.5966	2.1928	3.5051	2.5651	2.8426	2.7968	3.0304	2.449	2.7797	2.4448	0.7987	0	1.0812	12 kDa	0.25		0.8782	0.8601	0.8978	0	2.1524	0.9577	1.1694	2.4984	2.4182	0	1.5215	2.2551	1.8699	2.1191	2.165	2.1023	0.7966	2.9984	2.1409	1.9786	P99027																	
ROA1_MOUSE	Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus GN=Hnrnpa1 PE=1 SV=2	34 kDa	0.37			0	0	0	0	0	0	0	0	0	0	0	0.9476	0	0	0	0.2369	1.6298	0	0	0.5433	34 kDa	0.24		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9995	0	0.3332	P49312																	
ROA2_MOUSE	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Mus musculus GN=Hnrnpa2b1 PE=1 SV=2	37 kDa	0.041			7.6571	12.117	8.7713	6.9882	10.093	9.1253	5.897	12.117	8.7713	4.6734	7.8647	5.6853	5.5935	5.0507	1.2245	4.3885	6.5194	4.7919	4.4582	5.2565	37 kDa	< 0.00010		7.0259	4.3004	8.0802	6.5674	6.4573	6.4862	2.3388	1.2492	0	3.3095	1.7244	2.2551	0.9349	0	2.165	1.3388	7.1691	7.9957	7.4932	7.5527	O88569																	
ROA3_MOUSE	Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus GN=Hnrnpa3 PE=1 SV=1	40 kDa	0.05			0.9571	0	0	1.1647	1.1215	0.6487	0	0	0	0	0	0.9476	0	0	0	0.2369	4.0746	2.3959	0	2.1568	40 kDa	0.012		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5931	0.9995	0	0.8642	Q8BG05																	
ROAA_MOUSE	Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus GN=Hnrnpab PE=1 SV=1	31 kDa	0.81			0	1.731	0	0	2.243	0.7948	0	1.731	0	0	0.4328	1.8951	0.9323	0	0	0.7068	1.6298	0.7987	0.8917	1.1067	31 kDa	0.24		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0705	0.3568	Q99020																	
RPN1_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Mus musculus GN=Rpn1 PE=2 SV=1	69 kDa	0.12			0.9571	1.731	1.0964	0	0	0.7569	0	1.731	1.0964	0	0.7069	2.8426	3.729	1.0101	1.2245	2.2016	1.6298	3.1946	0.8917	1.9054	69 kDa	0.24		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9995	0	0.3332	Q91YQ5																	
RPN2_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Mus musculus GN=Rpn2 PE=2 SV=1	69 kDa	0.18			0	0.8655	1.0964	1.1647	0	0.6253	0.9828	0.8655	1.0964	2.3367	1.3204	0.9476	0.9323	1.0101	0	0.7225	1.6298	1.5973	0.8917	1.3729	69 kDa	0.0084		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7966	0.9995	0	0.5987	Q9DBG6																	
RRAS_MOUSE	Ras-related protein R-Ras OS=Mus musculus GN=Rras PE=2 SV=1	24 kDa	0.014	Integrin		0.9571	8.6552	6.5785	4.6588	11.215	6.4129	3.9313	8.6552	6.5785	4.6734	5.9596	7.5804	4.6613	9.0913	9.7959	7.7822	13.854	14.376	12.483	13.571	24 kDa	0.0011		2.6347	3.4403	2.6934	2.1891	3.2286	2.8372	0	2.4984	1.2091	2.2063	1.4785	6.7654	4.6747	6.3573	5.4124	5.8025	4.7794	2.9984	7.4932	5.0903	P10833	Chemokine_Cytokine_Signaling, EGF, Integrin	EGF			Chemokine_Cytokine_Signaling			EGF				Integrin					Rras
RS10_MOUSE	40S ribosomal protein S10 OS=Mus musculus GN=Rps10 PE=1 SV=1	19 kDa	0.26			0	0.8655	1.0964	0	2.243	0.841	0	0.8655	1.0964	1.1684	0.7826	0.9476	1.8645	2.0203	2.449	1.8203	1.6298	0	1.7833	1.1377	19 kDa	0.047		0.8782	0.8601	0.8978	0	1.0762	0.7425	0	0	0	0	0	0	0.9349	1.0595	2.165	1.0399	0.7966	1.9989	1.0705	1.2887	P63325																	
RS16_MOUSE	40S ribosomal protein S16 OS=Mus musculus GN=Rps16 PE=2 SV=4	16 kDa	0.54			0.9571	1.731	0	0	5.6074	1.6591	0	1.731	0	0	0.4328	1.8951	2.7968	1.0101	2.449	2.0378	1.6298	3.1946	0	1.6081	16 kDa	0.056		1.7565	0	0	0	1.0762	0.5665	0	0	0	0	0	0	0	0	1.0825	0.2706	0	2.9984	3.2114	2.0699	P14131																	
RS18_MOUSE	40S ribosomal protein S18 OS=Mus musculus GN=Rps18 PE=1 SV=3	18 kDa	0.52			0.9571	0	0	0	4.4859	1.0886	0	0	0	3.5051	0.8763	2.8426	1.8645	1.0101	1.2245	1.7354	4.8895	0	3.5666	2.8187	18 kDa	0.22		0	0.8601	0.8978	0	1.0762	0.5668	0	0	0	0	0	0	0.9349	1.0595	1.0825	0.7692	0.7966	2.9984	0	1.265	P62270																	
RS19_MOUSE	40S ribosomal protein S19 OS=Mus musculus GN=Rps19 PE=1 SV=3	16 kDa	0.93			1.9143	1.731	0	1.1647	3.3644	1.6349	0	1.731	0	3.5051	1.309	1.8951	0.9323	4.0406	0	1.717	2.4448	0.7987	0	1.0812	16 kDa	0.27		0.8782	0.8601	0	0	0	0.3477	0	3.7476	1.2091	0	1.2392	0	0	0	0	0	0.7966	0.9995	1.0705	0.9555	Q9CZX8																	
RS25_MOUSE	40S ribosomal protein S25 OS=Mus musculus GN=Rps25 PE=2 SV=1	14 kDa	0.0018			0	0.8655	0	0	2.243	0.6217	0	0.8655	0	0	0.2164	2.8426	2.7968	4.0406	3.6735	3.3384	0	0	2.6749	0.8916	14 kDa	0.0003		0	0	0	0	0	0	0	0	0	0	0	0	0.9349	1.0595	1.0825	0.7692	0.7966	0.9995	1.0705	0.9555	P62852																	
RS3_MOUSE	40S ribosomal protein S3 OS=Mus musculus GN=Rps3 PE=1 SV=1	27 kDa	0.084			6.7	7.7897	6.5785	4.6588	11.215	7.3884	0.9828	7.7897	6.5785	3.5051	4.714	3.7902	1.8645	3.0304	0	2.1713	8.9641	9.5838	1.7833	6.7771	27 kDa	0.013		0.8782	0.8601	1.7956	2.1891	0	1.1446	0	0	0	1.1032	0.2758	1.1276	0	0	1.0825	0.5525	2.3897	1.9989	2.1409	2.1765	P62908																	
RS4X_MOUSE	40S ribosomal protein S4, X isoform OS=Mus musculus GN=Rps4x PE=2 SV=2	30 kDa	0.12			2.8714	1.731	2.1928	3.4941	3.3644	2.7307	0	1.731	2.1928	0	0.981	1.8951	2.7968	1.0101	1.2245	1.7316	0.8149	2.3959	3.5666	2.2591	30 kDa	0.022		0.8782	2.5802	0	2.1891	2.1524	1.56	0	0	0	0	0	2.2551	1.8699	1.0595	3.2475	2.108	2.3897	0.9995	1.0705	1.4866	P62702																	
RSSA_MOUSE	40S ribosomal protein SA OS=Mus musculus GN=Rpsa PE=1 SV=4	33 kDa	0.52			2.8714	0	0	0	1.1215	0.7986	0	0	0	0	0	0.9476	0.9323	0	0	0.47	0	0.7987	0	0.2662	33 kDa	0.64		1.7565	0	0	0	0	0.3513	0	0	0	0	0	0	0	0	0	0	0.7966	0	0	0.2655	P14206																	
RSU1_MOUSE	Ras suppressor protein 1 OS=Mus musculus GN=Rsu1 PE=2 SV=3	32 kDa	0.15			3.8286	2.5966	5.4821	3.4941	6.7289	4.4261	0	2.5966	5.4821	2.3367	2.6039	9.4755	5.5935	2.0203	8.5714	6.4152	4.8895	7.1878	5.3499	5.8091	32 kDa	0.19		0.8782	0	0	1.0946	0	0.3946	0	0	0	0	0	2.2551	0.9349	0	2.165	1.3388	0.7966	0	4.2818	1.6928	Q01730																	
S10AB_MOUSE	Protein S100-A11 OS=Mus musculus GN=S100a11 PE=2 SV=1	11 kDa	0.35	ECM		2.8714	4.3276	3.2892	1.1647	5.6074	3.4521	3.9313	4.3276	3.2892	3.5051	3.7633	2.8426	4.6613	5.0507	2.449	3.7509	0	2.3959	3.5666	1.9875	11 kDa	0.05		0.8782	0.8601	0	0	2.1524	0.7781	2.3388	2.4984	1.2091	0	1.5116	2.2551	1.8699	2.1191	1.0825	1.8317	0	0	0	0	P50543																	
SCOT1_MOUSE	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Mus musculus GN=Oxct1 PE=1 SV=1	56 kDa	0.17			10.529	9.5207	8.7713	8.1528	5.6074	8.5162	5.897	9.5207	8.7713	11.684	8.9683	8.5279	7.458	10.101	6.1225	8.0524	6.5194	2.3959	7.1332	5.3495	56 kDa	0.089		9.6607	11.181	8.0802	4.3783	2.1524	7.0905	4.6776	2.4984	1.2091	3.3095	2.9237	11.276	4.6747	6.3573	6.4949	7.2007	4.7794	2.9984	3.2114	3.6631	Q9D0K2																	
SEPT2_MOUSE	Septin-2 OS=Mus musculus GN=Sept2 PE=1 SV=2	42 kDa	0.83			0	2.5966	1.0964	1.1647	2.243	1.4201	5.897	2.5966	1.0964	0	2.3975	3.7902	0.9323	3.0304	0	1.9382	1.6298	2.3959	2.6749	2.2335	42 kDa	0.75		1.7565	0	0	0	0	0.3513	0	0	0	0	0	1.1276	0	0	0	0.2819	1.5931	0	0	0.531	P42208																	
SEPT7_MOUSE	Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1	51 kDa	0.2			3.8286	5.1931	3.2892	1.1647	3.3644	3.368	2.9485	5.1931	3.2892	0	2.8577	4.7377	4.6613	4.0406	6.1225	4.8905	3.2597	3.1946	0.8917	2.4487	51 kDa	0.0032		0.8782	0	0.8978	0	0	0.3552	0	0	0	0	0	2.2551	1.8699	1.0595	1.0825	1.5668	0	0	1.0705	0.3568	O55131																	
SH3L1_MOUSE	SH3 domain-binding glutamic acid-rich-like protein OS=Mus musculus GN=Sh3bgrl PE=3 SV=1	13 kDa	0.26			2.8714	1.731	0	2.3294	6.7289	2.7321	2.9485	1.731	0	1.1684	1.462	2.8426	2.7968	3.0304	3.6735	3.0858	1.6298	5.5905	6.2415	4.4873	13 kDa	0.13		2.6347	0	2.6934	1.0946	3.2286	1.9303	2.3388	2.4984	0	0	1.2093	0	0.9349	0	1.0825	0.5044	1.5931	2.9984	3.2114	2.601	Q9JJU8																	
SLMAP_MOUSE	Sarcolemmal membrane-associated protein OS=Mus musculus GN=Slmap PE=1 SV=2	97 kDa	0.23			14.357	13.848	12.061	11.647	12.336	12.8498	3.9313	13.848	12.061	10.515	10.0888	15.161	13.052	12.122	3.6735	11.0021	9.779	5.5905	6.2415	7.2037	97 kDa	0.0054		3.513	1.7202	0.8978	1.0946	0	1.4451	0	0	0	0	0	2.2551	1.8699	6.3573	4.3299	3.7031	0	0	0	0	Q3URD3																	
SMTN_MOUSE	Smoothelin OS=Mus musculus GN=Smtn PE=2 SV=2	100 kDa	0.027			6.7	4.3276	1.0964	4.6588	2.243	3.8052	3.9313	4.3276	1.0964	3.5051	3.2151	4.7377	4.6613	4.0406	1.2245	3.666	12.224	10.382	4.4582	9.0214	100 kDa	0.31		0	0	1.7956	0	0	0.3591	1.1694	1.2492	0	0	0.6047	1.1276	0.9349	0	2.165	1.0569	0	0	0	0	Q921U8																	
SNTB2_MOUSE	Beta-2-syntrophin OS=Mus musculus GN=Sntb2 PE=1 SV=2	56 kDa	0.8			3.8286	5.1931	3.2892	4.6588	0	3.3939	1.9657	5.1931	3.2892	3.5051	3.4883	3.7902	2.7968	4.0406	4.898	3.8814	4.0746	2.3959	1.7833	2.7513	56 kDa	0.58		0.8782	0	0	0	0	0.1756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Q61235																	
SODM_MOUSE	Superoxide dismutase [Mn], mitochondrial OS=Mus musculus GN=Sod2 PE=1 SV=3	25 kDa	0.033			0	0	0	1.1647	0	0.2329	0	0	0	0	0	0	1.8645	1.0101	1.2245	1.0248	2.4448	0.7987	0.8917	1.3784	25 kDa	0.0003		0.8782	0.8601	4.489	3.2837	3.2286	2.5479	0	0	0	0	0	4.5102	3.7398	5.2977	4.3299	4.4694	3.9828	4.9973	3.2114	4.0638	P09671																	
SPA3K_MOUSE	Serine protease inhibitor A3K OS=Mus musculus GN=Serpina3k PE=1 SV=2	47 kDa	0.0002	ECM		3.8286	0	4.3856	3.4941	0	2.3417	5.897	0	4.3856	17.525	6.9519	18.003	26.103	19.193	18.367	20.4165	0.8149	1.5973	0.8917	1.1013	47 kDa	< 0.00010		0.8782	3.4403	1.7956	2.1891	3.2286	2.3064	9.3553	7.4952	1.2091	0	4.5149	14.658	31.788	27.548	21.65	23.911	3.1863	2.9984	6.4227	4.2025	P07759																	
SPRE_MOUSE	Sepiapterin reductase OS=Mus musculus GN=Spr PE=1 SV=1	28 kDa	0.66			0	3.4621	3.2892	1.1647	2.243	2.0318	0	3.4621	3.2892	1.1684	1.9799	0.9476	4.6613	2.0203	4.898	3.1318	2.4448	3.1946	2.6749	2.7714	28 kDa	0.4		1.7565	0	0	0	0	0.3513	0	0	0	0	0	3.3827	0	0	1.0825	1.1163	1.5931	0	1.0705	0.8879	Q64105																	
SPTB2_MOUSE	Spectrin beta chain, non-erythrocytic 1 OS=Mus musculus GN=Sptbn1 PE=1 SV=2	274 kDa	0.87			0.9571	0	1.0964	1.1647	0	0.6436	0	0	1.0964	0	0.2741	1.8951	0	0	0	0.4738	0.8149	0	0.8917	0.5689	274 kDa	0.52		1.7565	0	0	0	0	0.3513	2.3388	1.2492	0	0	0.897	0	0	0	0	0	0	1.9989	0	0.6663	Q62261																	
SPTN1_MOUSE	Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus GN=Sptan1 PE=1 SV=4	285 kDa	0.81			0	0	0	0	2.243	0.4486	0	0	0	0	0	1.8951	0	0	0	0.4738	0	0	0.8917	0.2972	285 kDa	0.58		0	0.8601	0	3.2837	0	0.8288	0	1.2492	0	0	0.3123	0	0	0	0	0	0.7966	0.9995	0	0.5987	P16546																	
SRSF2_MOUSE	Serine/arginine-rich splicing factor 2 OS=Mus musculus GN=Srsf2 PE=1 SV=4	25 kDa	0.32			1.9143	1.731	0	0	1.1215	0.9534	0	1.731	0	0	0.4328	0	0	0	0	0	1.6298	0.7987	0	0.8095	25 kDa	0.28		0.8782	0.8601	0.8978	0	0	0.5272	0	0	0	1.1032	0.2758	0	0	0	0	0	0.7966	0.9995	0	0.5987	Q62093																	
SSRA_MOUSE	Translocon-associated protein subunit alpha OS=Mus musculus GN=Ssr1 PE=1 SV=1	32 kDa	0.081			0	0	0	0	2.243	0.4486	0	0	0	0	0	0	0	0	0	0	2.4448	2.3959	0	1.6136	32 kDa	0.0084		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7966	0.9995	0	0.5987	Q9CY50																	
SUCB1_MOUSE	Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Mus musculus GN=Sucla2 PE=1 SV=2	50 kDa	0.68			1.9143	2.5966	0	0	0	0.9022	0	2.5966	0	0	0.6492	0	0.9323	1.0101	0	0.4856	0	0	0	0	50 kDa	0.71		6.1477	6.8806	6.2846	0	0	3.8626	7.0164	0	1.2091	2.2063	2.608	2.2551	3.7398	1.0595	0	1.7636	3.9828	2.9984	2.1409	3.0407	Q9Z2I9																	
